NAME,A (au),PER (days),ECC,STAR,RSTAR (Rsun),MSTAR (Msun),MASS (Mjup)
KOI 1399.01,0.0797,8.75059775,0,KOI 1399,0.779,0.884,0.017672412
KOI 1281.01,0.2587,49.4781446,0,KOI 1281,0.849,0.939,0.014147424
KOI 1408.01,0.0956,14.53410833,0,KOI 1408,0.553,0.551,0.009137375
KOI 153.01,0.0763,8.925079516,0,KOI 153,0.693,0.768,0.018648154
KOI 1225.01,0.0229,1.714274727,0,KOI 1225,0.535,0.541,1
KOI 1357.01,0.0398,3.014330766,0,KOI 1357,0.953,0.925,0.025710234
KOI 1358.01,0.0571,5.644914154,0,KOI 1358,0.714,0.799,0.022455606
KOI 1420.01,0.1004,13.35151248,0,KOI 1420,0.754,0.755,0.067835187
KOI 1358.02,0.0765,8.74292005,0,KOI 1358,0.714,0.799,0.014464161
KOI 1358.03,0.0427,3.64830183,0,KOI 1358,0.714,0.799,0.008477835
KOI 1358.04,0.0318,2.345863002,0,KOI 1358,0.714,0.799,0.006500393
KOI 1359.01,0.2093,37.1011418,0,KOI 1359,0.85,0.886,0.031781639
KOI 1236.01,0.2236,35.7353616,0,KOI 1236,1.697,1.164,0.104255746
KOI 1303.01,0.2003,34.2966363,0,KOI 1303,1.167,0.911,0.033987962
KOI 1602.01,0.0919,9.97716876,0,KOI 1602,1.616,1.035,0.020693606
KOI 1489.01,0.1179,16.00460392,0,KOI 1489,0.769,0.86,0.017362327
KOI 1494.01,0.0718,8.19596647,0,KOI 1494,0.747,0.734,0.015470226
KOI 1560.01,0.1878,31.56904354,0,KOI 1560,0.998,0.886,1
KOI 188.01,0.0457,3.797018259,0,KOI 188,0.848,0.883,0.898940799
KOI 1725.01,0.0692,9.8786461,0,KOI 1725,0.422,0.452,0.012140985
KOI 1498.02,0.0382,2.42150341,0,KOI 1498,1.195,1.27,0.012274051
KOI 1499.02,0.0161,0.840594032,0,KOI 1499,0.885,0.782,0.000583941
KOI 1499.03,0.061,6.20920207,0,KOI 1499,0.885,0.782,0.002076149
KOI 1563.01,0.0571,5.48711441,0,KOI 1563,0.787,0.823,0.03286523
KOI 1563.02,0.0752,8.29084167,0,KOI 1563,0.787,0.823,0.03221044
